game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014030132,5,away,LOSS,REG,Mike Johnston,2,5,21,14,4,2,50,4,6
2014030132,3,home,WIN,REG,Alain Vigneault,3,6,25,8,7,1,50,13,9
2014030133,3,away,WIN,REG,Alain Vigneault,2,6,37,8,2,0,45.9,3,3
2014030133,5,home,LOSS,REG,Mike Johnston,1,6,43,10,2,0,54.1,8,3
2014030134,3,away,WIN,OT,Alain Vigneault,2,6,42,6,3,0,42.9,1,4
2014030134,5,home,LOSS,OT,Mike Johnston,1,5,28,6,3,0,57.1,6,2
2014030135,5,away,LOSS,OT,Mike Johnston,1,9,28,6,3,0,52.9,10,4
2014030135,3,home,WIN,OT,Alain Vigneault,2,9,36,6,3,1,47.1,19,13
2014030311,14,away,LOSS,REG,Jon Cooper,1,6,18,4,4,1,56.6,6,4
2014030311,3,home,WIN,REG,Alain Vigneault,2,7,30,8,2,0,43.4,8,10
2014030312,14,away,WIN,REG,Jon Cooper,4,6,26,12,6,3,45.6,10,5
2014030312,3,home,LOSS,REG,Alain Vigneault,2,9,28,22,5,2,54.4,14,8
2014030313,3,away,LOSS,OT,Alain Vigneault,3,7,33,6,4,2,45.8,10,6
2014030313,14,home,WIN,OT,Jon Cooper,4,10,41,10,2,1,54.2,11,8
2014030314,3,away,WIN,REG,Alain Vigneault,3,6,30,26,4,2,43.6,12,6
2014030314,14,home,LOSS,REG,Jon Cooper,1,9,32,36,4,0,56.4,11,10
2014030315,14,away,WIN,REG,Jon Cooper,2,5,29,10,3,1,61.5,7,7
2014030315,3,home,LOSS,REG,Alain Vigneault,0,6,29,8,4,0,38.5,6,6
2014030316,3,away,WIN,REG,Alain Vigneault,5,8,27,8,3,1,53,8,9
2014030316,14,home,LOSS,REG,Jon Cooper,3,9,22,8,3,1,47,11,7
2014030317,14,away,WIN,REG,Jon Cooper,2,6,25,4,0,0,37.5,5,9
2014030317,3,home,LOSS,REG,Alain Vigneault,0,5,29,0,2,0,62.5,15,5

2013030151,30,away,LOSS,OT,Mike Yeo,2,8,28,12,2,1,54.5,1,11
2013030151,21,home,WIN,OT,Patrick Roy,3,7,41,10,4,0,45.5,6,11
2013030152,30,away,TIE,REG,Mike Yeo,2,8,34,16,3,0,52.2,3,7
2013030152,21,home,TIE,REG,Patrick Roy,2,7,26,16,3,1,47.8,3,9
2013030153,21,away,LOSS,OT,Patrick Roy,0,5,27,14,4,0,47.1,3,4
2013030153,30,home,WIN,OT,Mike Yeo,1,11,33,16,3,0,52.9,3,11
2013030154,21,away,LOSS,REG,Patrick Roy,1,3,14,8,4,0,43.5,7,5
2013030154,30,home,WIN,REG,Mike Yeo,2,8,16,8,4,1,56.5,5,10
2013030155,30,away,WIN,OT,Mike Yeo,3,8,23,8,3,0,52.5,2,11
2013030155,21,home,LOSS,OT,Patrick Roy,2,8,34,8,3,0,47.5,8,6
2013030156,21,away,LOSS,REG,Patrick Roy,2,5,18,32,4,1,46.6,4,1
2013030156,30,home,WIN,REG,Mike Yeo,3,5,32,34,3,1,53.4,6,9
2013030157,30,away,WIN,OT,Mike Yeo,3,8,28,6,3,0,53.3,2,15
2013030157,21,home,LOSS,OT,Patrick Roy,2,5,28,6,3,1,46.7,8,12

2014030151,30,away,TIE,REG,Mike Yeo,2,7,25,4,4,2,41.9,3,3
2014030151,19,home,TIE,REG,Ken Hitchcock,2,5,22,18,2,0,58.1,7,6
2014030152,30,away,LOSS,REG,Mike Yeo,1,6,36,6,1,0,42.3,3,8
2014030152,19,home,WIN,REG,Ken Hitchcock,2,6,36,2,3,1,57.7,3,4
2014030153,19,away,LOSS,REG,Ken Hitchcock,0,4,26,16,0,0,50.8,4,3
2014030153,30,home,WIN,REG,Mike Yeo,3,6,28,0,3,0,49.2,5,17
2014030154,19,away,WIN,REG,Ken Hitchcock,4,6,16,2,2,0,50,1,6
2014030154,30,home,LOSS,REG,Mike Yeo,1,4,26,4,1,1,50,8,6
2014030155,30,away,WIN,REG,Mike Yeo,2,4,19,6,2,1,46.8,2,3
2014030155,19,home,LOSS,REG,Ken Hitchcock,1,9,22,6,2,1,53.2,3,6
2014030156,19,away,LOSS,REG,Ken Hitchcock,1,7,12,4,2,0,47.2,5,2
2014030156,30,home,WIN,REG,Mike Yeo,2,5,15,6,1,0,52.8,5,10
2014030111,9,away,WIN,REG,Dave Cameron,3,8,44,30,5,2,49.4,10,4
2014030111,8,home,LOSS,REG,Michel Therrien,2,9,42,33,1,0,50.6,15,10
2014030112,9,away,LOSS,OT,Dave Cameron,2,7,53,12,3,1,47,4,6
2014030112,8,home,WIN,OT,Michel Therrien,3,10,41,6,6,1,53,10,9
2014030113,8,away,WIN,OT,Michel Therrien,2,12,36,6,6,0,44.8,15,5
